Date,YR4 X [km],YR4 Y [km],YR4 Z [km],L2 X [km],L2 Y [km],L2 Z [km],,X-X,Y-Y,Z-Z,mag
2032-Dec-16 ,3.14E+06,-6.46E+06,1.22E+06,1.27E+05,4.27E+05,-2.80E+04,,3.01E+06,-6.89E+06,1.24E+06,7.62E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-17 ,2.61E+06,-5.46E+06,1.03E+06,2.57E+04,4.49E+05,-3.40E+04,,2.58E+06,-5.91E+06,1.06E+06,6.53E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-18 ,2.08E+06,-4.46E+06,8.43E+05,-7.68E+04,4.47E+05,-3.82E+04,,2.16E+06,-4.91E+06,8.81E+05,5.43E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-19 ,1.55E+06,-3.46E+06,6.55E+05,-1.75E+05,4.24E+05,-4.05E+04,,1.72E+06,-3.88E+06,6.96E+05,4.31E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-20 ,1.02E+06,-2.47E+06,4.68E+05,-2.65E+05,3.79E+05,-4.08E+04,,1.28E+06,-2.84E+06,5.08E+05,3.16E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-21 ,4.83E+05,-1.47E+06,2.80E+05,-3.42E+05,3.17E+05,-3.91E+04,,8.25E+05,-1.79E+06,3.19E+05,2.00E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-22 ,-5.01E+04,-4.78E+05,9.16E+04,-4.03E+05,2.40E+05,-3.56E+04,,3.53E+05,-7.18E+05,1.27E+05,8.10E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-23 ,-5.73E+05,5.26E+05,-9.83E+04,-4.46E+05,1.52E+05,-3.04E+04,,-1.27E+05,3.73E+05,-6.79E+04,4.00E+05
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-24 ,-1.08E+06,1.53E+06,-2.88E+05,-4.68E+05,5.79E+04,-2.39E+04,,-6.17E+05,1.47E+06,-2.64E+05,1.62E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-25 ,-1.60E+06,2.53E+06,-4.77E+05,-4.69E+05,-3.92E+04,-1.63E+04,,-1.13E+06,2.57E+06,-4.61E+05,2.85E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-26 ,-2.10E+06,3.54E+06,-6.67E+05,-4.48E+05,-1.34E+05,-7.87E+03,,-1.66E+06,3.67E+06,-6.59E+05,4.08E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-27 ,-2.61E+06,4.55E+06,-8.55E+05,-4.06E+05,-2.23E+05,8.91E+02,,-2.21E+06,4.77E+06,-8.56E+05,5.32E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-28 ,-3.12E+06,5.56E+06,-1.04E+06,-3.44E+05,-3.02E+05,9.60E+03,,-2.78E+06,5.86E+06,-1.05E+06,6.57E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-29 ,-3.63E+06,6.57E+06,-1.23E+06,-2.65E+05,-3.65E+05,1.78E+04,,-3.37E+06,6.93E+06,-1.25E+06,7.81E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-30 ,-4.14E+06,7.59E+06,-1.42E+06,-1.72E+05,-4.10E+05,2.51E+04,,-3.97E+06,8.00E+06,-1.45E+06,9.04E+06
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2032-Dec-31 ,-4.65E+06,8.61E+06,-1.61E+06,-7.03E+04,-4.33E+05,3.11E+04,,-4.58E+06,9.04E+06,-1.64E+06,1.03E+07
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2033-Jan-01 ,-5.15E+06,9.64E+06,-1.80E+06,3.58E+04,-4.31E+05,3.52E+04,,-5.19E+06,1.01E+07,-1.83E+06,1.15E+07